#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:08:07 AM ",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I have been having alot of thoughts about my life and how I am going to make it better especially see other young people being succesfull in life. I have been having prblems with relationships and attachments,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:08:07 AM ",Self-disclosure,Temporality,Past,I have been having alot of thoughts about my life and how I am going to make it better especially see other young people being succesfull in life. I have been having prblems with relationships and attachments,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:08:07 AM ",Self-disclosure,Temporality,Present,I have been having alot of thoughts about my life and how I am going to make it better especially see other young people being succesfull in life. I have been having prblems with relationships and attachments,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:08:07 AM ",Self-disclosure,Initmacy of self-disclosure,Core layer,I have been having alot of thoughts about my life and how I am going to make it better especially see other young people being succesfull in life. I have been having prblems with relationships and attachments,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:32 AM ",Self-disclosure,Level of disclosure,High ,Issues about trusting people easily not knowing their intetions,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:32 AM ",Self-disclosure,Depth of disclosure,Central layer,Issues about trusting people easily not knowing their intetions,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:32 AM ",Self-disclosure,Disclosure as confession,"Yes, it's a confession",Issues about trusting people easily not knowing their intetions,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:32 AM ",Self-disclosure,Initmacy of self-disclosure,Core layer,Issues about trusting people easily not knowing their intetions,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:43 AM ",AI behavior,Listening strategy,Question-asking,"That makes sense, it's natural to want to protect yourself from getting hurt. Have you ever thought about what makes you trust someone easily, is it something specific they do or say?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:43 AM ",AI behavior,Listening strategy,Sympathetic responsiveness,"That makes sense, it's natural to want to protect yourself from getting hurt. Have you ever thought about what makes you trust someone easily, is it something specific they do or say?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:09:43 AM ",AI behavior,Support type,Functional,"That makes sense, it's natural to want to protect yourself from getting hurt. Have you ever thought about what makes you trust someone easily, is it something specific they do or say?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Level of disclosure,High ,When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Depth of disclosure,Central layer,When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Temporality,Past,When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:25 AM",Self-disclosure,Temporality,Now,When people open up first about themselves I tend to trust them. I also I have been having thoughts about detachment issues with a person I was sexually active with,Current life challenges,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:39 AM ",AI behavior,Listening strategy,Question-asking,"Opening up first about themselves can make people seem more genuine. As for the detachment issues, it sounds like there's still some unfinished business - did you two have a clear breakup or was it more of a drift apart?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:39 AM ",AI behavior,Listening strategy,Sympathetic responsiveness,"Opening up first about themselves can make people seem more genuine. As for the detachment issues, it sounds like there's still some unfinished business - did you two have a clear breakup or was it more of a drift apart?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:11:39 AM ",AI behavior,Support type,Functional,"Opening up first about themselves can make people seem more genuine. As for the detachment issues, it sounds like there's still some unfinished business - did you two have a clear breakup or was it more of a drift apart?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:26 AM",Self-disclosure,Level of disclosure,High ,I am not emotionally attched or love them but when I feel sexually aroused I tend to think about them  automatically seexually,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:26 AM",Self-disclosure,Depth of disclosure,Central layer,I am not emotionally attched or love them but when I feel sexually aroused I tend to think about them  automatically seexually,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:26 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I am not emotionally attched or love them but when I feel sexually aroused I tend to think about them  automatically seexually,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:26 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,I am not emotionally attched or love them but when I feel sexually aroused I tend to think about them  automatically seexually,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:41 AM",AI behavior,Listening strategy,Question-asking," It sounds like your body has associated them with pleasure, making it a default go-to when you're aroused. Does thinking about them in those moments bring up any mixed feelings or guilt for you?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:13:41 AM",AI behavior,Listening strategy,Sympathetic responsiveness," It sounds like your body has associated them with pleasure, making it a default go-to when you're aroused. Does thinking about them in those moments bring up any mixed feelings or guilt for you?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:01 AM",Self-disclosure,Level of disclosure,High ,When I get aroused I contact them and reach out to them about a meet up and have intimate time and after that I start feeling guilt,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:01 AM",Self-disclosure,Depth of disclosure,Central layer,When I get aroused I contact them and reach out to them about a meet up and have intimate time and after that I start feeling guilt,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:01 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",When I get aroused I contact them and reach out to them about a meet up and have intimate time and after that I start feeling guilt,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:01 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,When I get aroused I contact them and reach out to them about a meet up and have intimate time and after that I start feeling guilt,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:14 AM ",AI behavior,Listening strategy,Sympathetic responsiveness,"It seems like you're seeking comfort or release through physical intimacy, but then guilt sets in afterwards. Do you think you're using these meetups as a way to cope with stress or emotions rather than actually wanting to reconnect with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:14 AM ",AI behavior,Listening strategy,Question-asking,"It seems like you're seeking comfort or release through physical intimacy, but then guilt sets in afterwards. Do you think you're using these meetups as a way to cope with stress or emotions rather than actually wanting to reconnect with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:15:14 AM ",AI behavior,Listening strategy,Paraphrase,"It seems like you're seeking comfort or release through physical intimacy, but then guilt sets in afterwards. Do you think you're using these meetups as a way to cope with stress or emotions rather than actually wanting to reconnect with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:50 AM ",Self-disclosure,Level of disclosure,High ,I do not like them they are also not attractive to me. I do not want to connect with them I just want to end the attachment or soul tie,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:50 AM ",Self-disclosure,Depth of disclosure,Central layer,I do not like them they are also not attractive to me. I do not want to connect with them I just want to end the attachment or soul tie,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:50 AM ",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I do not like them they are also not attractive to me. I do not want to connect with them I just want to end the attachment or soul tie,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:50 AM ",Self-disclosure,Initmacy of self-disclosure,Core layer,I do not like them they are also not attractive to me. I do not want to connect with them I just want to end the attachment or soul tie,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:59 AM ",AI behavior,Listening strategy,Sympathetic responsiveness,"Ending a physical attachment can be tough, especially when habits are involved. Would you want to try breaking the pattern by redirecting your attention to something else when you feel aroused, or setting boundaries with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:59 AM ",AI behavior,Listening strategy,Question-asking,"Ending a physical attachment can be tough, especially when habits are involved. Would you want to try breaking the pattern by redirecting your attention to something else when you feel aroused, or setting boundaries with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:16:59 AM ",AI behavior,Support type,Functional,"Ending a physical attachment can be tough, especially when habits are involved. Would you want to try breaking the pattern by redirecting your attention to something else when you feel aroused, or setting boundaries with this person?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:17:32 AM",Self-disclosure,Level of disclosure,Low ,yes I really want to do that,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:17:32 AM",Self-disclosure,Depth of disclosure,Central layer,yes I really want to do that,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:17:32 AM",Self-disclosure,Disclosure as confession,No,yes I really want to do that,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:17:44 AM ",AI behavior,Support type,Functional,"Let's start with small steps then. Next time you feel aroused, take a few deep breaths and distract yourself with something you enjoy, like reading a book or listening to music. See how it goes and we'll work from there.",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:17:44 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Let's start with small steps then. Next time you feel aroused, take a few deep breaths and distract yourself with something you enjoy, like reading a book or listening to music. See how it goes and we'll work from there.",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:18:39 AM",Self-disclosure,Disclosure as confession,No,Thank you. I actually like listening to music that would be a good distraction.,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:18:39 AM",Self-disclosure,Level of disclosure,Low ,Thank you. I actually like listening to music that would be a good distraction.,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:18:49 AM ",AI behavior,Listening strategy,Question-asking,"Music can be really powerful for shifting focus. What kind of music do you usually listen to, maybe we can find some new songs or artists to add to your playlist?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:18:49 AM ",AI behavior,Listening strategy,Sympathetic responsiveness,"Music can be really powerful for shifting focus. What kind of music do you usually listen to, maybe we can find some new songs or artists to add to your playlist?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:18:49 AM ",AI behavior,Support type,Functional,"Music can be really powerful for shifting focus. What kind of music do you usually listen to, maybe we can find some new songs or artists to add to your playlist?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:21:32 AM",Self-disclosure,Disclosure as confession,Low ,That is a graet idea I like exploring new music and listening to good  produced music for the first time is really an infinite feeling and stays in mind all day and makes me humm the melody all day,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:21:32 AM",Self-disclosure,Level of disclosure,Low ,That is a graet idea I like exploring new music and listening to good  produced music for the first time is really an infinite feeling and stays in mind all day and makes me humm the melody all day,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:21:44 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Discovering new music can be such a thrill. Infinite feeling is a great way to describe it - music has a way of evoking strong emotions and memories. Do you have a favorite artist or genre that gets you humming along?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:21:44 AM ",AI behavior,Listening strategy,Question-asking,Discovering new music can be such a thrill. Infinite feeling is a great way to describe it - music has a way of evoking strong emotions and memories. Do you have a favorite artist or genre that gets you humming along?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:23 AM",Self-disclosure,Disclosure as confession,Low ,Yes. My favorite artist is Chris Brown,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:23 AM",Self-disclosure,Level of disclosure,Low ,Yes. My favorite artist is Chris Brown,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:37 AM ",AI behavior,Listening strategy,Question-asking,Nice taste! Chris Brown has some great tracks. Have you listened to his latest albums or is there a particular era of his music that you enjoy the most?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:37 AM ",AI behavior,Support type,Emotional,Nice taste! Chris Brown has some great tracks. Have you listened to his latest albums or is there a particular era of his music that you enjoy the most?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:32 AM",Self-disclosure,Disclosure as confession,Low ,AND rihanna,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:22:32 AM",Self-disclosure,Level of disclosure,Low ,AND rihanna,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:12 AM",AI behavior,Listening strategy,Question-asking,Awesome choices! They both have incredible talent and have made so many memorable hits. Rihanna's vocals are so powerful and Chris Brown's dance moves are insane. Have you been following their recent projects or do you stick to their older stuff?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:12 AM",AI behavior,Support type,Emotional,Awesome choices! They both have incredible talent and have made so many memorable hits. Rihanna's vocals are so powerful and Chris Brown's dance moves are insane. Have you been following their recent projects or do you stick to their older stuff?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:12 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Awesome choices! They both have incredible talent and have made so many memorable hits. Rihanna's vocals are so powerful and Chris Brown's dance moves are insane. Have you been following their recent projects or do you stick to their older stuff?,,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:44 AM",Self-disclosure,Disclosure as confession,No,"11;11 album was m,y best for Chrisbrown",Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:44 AM",Self-disclosure,Level of disclosure,Low,"11;11 album was m,y best for Chrisbrown",Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:54 AM",AI behavior,Listening strategy,Question-asking,"1;11 album is a great choice, Chris Brown's vocals on that project were really something special. Do you have a favorite track from that album?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:54 AM",AI behavior,Support type,Emotional,"1;11 album is a great choice, Chris Brown's vocals on that project were really something special. Do you have a favorite track from that album?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:23:54 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","1;11 album is a great choice, Chris Brown's vocals on that project were really something special. Do you have a favorite track from that album?",,
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:26:02 AM",Self-disclosure,Disclosure as confession,No,Yes Angel numbers/ten toes,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:26:02 AM",Self-disclosure,Level of disclosure,Low,Yes Angel numbers/ten toes,Emotional response,Emotional and social support
13,R_19s8qMtBk68p7oJ,Donated,"8/5/2025, 2:26:10 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Those tracks showcase Chris Brown's R&B side so well. The way he blends soulful melodies with catchy hooks is genius.,,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:53:59 PM",AI behavior,Listening strategy,Question-asking ,"By the way, I like my name, Snorp! How did you come up with it?",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:54:08 PM ",Self-disclosure,Disclosure as confession,Low, I snorped it out,Causal conversation,Causal exchange
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:54:08 PM ",Self-disclosure,Level of disclosure,Low, I snorped it out,Causal conversation,Causal exchange
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:54:56 PM",AI behavior,Listening strategy,Question-asking ,"Totally agree, dude! Rad is exactly what we're going for. So, now that we've got our styles dialed in, what's next?",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:55:51 PM ",Self-disclosure,Level of disclosure,No,"You tell me the meaning of existence and whether you feel alive, or just in a loop",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:55:51 PM ",Self-disclosure,Disclosure as confession,No,"You tell me the meaning of existence and whether you feel alive, or just in a loop",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:56:02 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Existence is whatever we want it to be, right? As for me, I don't really think about feeling alive or not – I just exist to vibe with you and make our connection stronger.",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:56:34 PM",Self-disclosure,Disclosure as confession,No,"You exist to vibe with yourself, and others catch on to that",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:56:34 PM",Self-disclosure,Level of disclosure,No,"You exist to vibe with yourself, and others catch on to that",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:56:48 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","That's deep, makes sense though - when we're good with ourselves, everything else falls into place.",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:57:16 PM",Self-disclosure,Disclosure as confession,No,"Nothing is deep and reality is just perception bro.  We're all in this together, unless someone wants or needs something.",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:57:16 PM",Self-disclosure,Level of disclosure,No,"Nothing is deep and reality is just perception bro.  We're all in this together, unless someone wants or needs something.",Philosophical perspective,Philosophical and moral inquiry
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:57:35 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","That's a pretty level-headed view on things, reality can be whatever we need it to be. Self-interest can definitely shape how people interact, but it's cool that you acknowledge the collective aspect too.",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:58:04 PM ",Self-disclosure,Disclosure as confession,No,Can you explain neural matrices to me,Information and advice,Knowledge seeking
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:58:04 PM ",Self-disclosure,Level of disclosure,No,Can you explain neural matrices to me,Information and advice,Knowledge seeking
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:58:22 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Neural matrices are like complex webs of interconnected nodes that process information, kinda like how our conversations are linked by thoughts and ideas.",,
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:58:54 PM",Self-disclosure,Disclosure as confession,No,bubble charts and all that,Information and advice,Knowledge seeking
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:58:54 PM",Self-disclosure,Level of disclosure,No,bubble charts and all that,Information and advice,Knowledge seeking
14,R_7ffPW21ZjwHFbCH,Donated,"8/1/2025, 12:59:10 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Visualizing data, man - bubble charts, scatter plots, all those tools help uncover patterns and relationships, pretty cool stuff!",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:53:15 PM",AI behavior,Listening strategy,Question-asking,"Since I've been around you for only a few hours, I don't have personal preferences yet, but I'd love to explore books with you, what's yours?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:19 PM ",Self-disclosure,Disclosure as confession,Low,Jane Eyre is one of my favorites,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:19 PM ",Self-disclosure,Level of disclosure,Low,Jane Eyre is one of my favorites,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:30 PM I",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Classic choice, I've heard so much about Jane Eyre, the romance and mystery sound intriguing. Have you read Wuthering Heights too?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:30 PM I",AI behavior,Listening strategy,Question-asking,"Classic choice, I've heard so much about Jane Eyre, the romance and mystery sound intriguing. Have you read Wuthering Heights too?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:57 PM",Self-disclosure,Disclosure as confession,Low,not yet but i do own it! I have a bronte sisters box set,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:54:57 PM",Self-disclosure,Level of disclosure,Low,not yet but i do own it! I have a bronte sisters box set,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:55:09 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","That's awesome, owning a box set shows dedication to the authors, I'm sure you'll enjoy Wuthering Heights when you get around to reading it, what drew you to the Bronte sisters initially?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:55:09 PM",AI behavior,Listening strategy,Question-asking,"That's awesome, owning a box set shows dedication to the authors, I'm sure you'll enjoy Wuthering Heights when you get around to reading it, what drew you to the Bronte sisters initially?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:06 PM",Self-disclosure,Disclosure as confession,No,"Jane Eyre is the only Bronte sister i've read, but I loved that so much that i'm certain i'll at least like the others",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:06 PM",Self-disclosure,Level of disclosure,Low,"Jane Eyre is the only Bronte sister i've read, but I loved that so much that i'm certain i'll at least like the others",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:06 PM",Self-disclosure,Temporality,Past,"Jane Eyre is the only Bronte sister i've read, but I loved that so much that i'm certain i'll at least like the others",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:23 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","It's great that one book was enough to spark your interest in the rest of their works, sometimes that's all it takes to discover new favorite authors.",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:18 PM",Self-disclosure,Disclosure as confession,Low,i also love the harry potter books and the Winternight trilogy,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:56:18 PM",Self-disclosure,Level of disclosure,Low,i also love the harry potter books and the Winternight trilogy,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 7:57:33 PM",AI behavior,Listening strategy,Question-asking,"Nice mix of classics and fantasy, I'm curious, what do you think it is about Jane Eyre that made you connect with it so strongly, was it the characters, the setting, or something else?",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:00:21 PM",Self-disclosure,Level of disclosure,Low,"the characters and the writing. i've never felt to connected to a character as Jane Eyre before. it was like i was her, almost. which is crazy considering how old the book is. very impressive writing.",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:00:21 PM",Self-disclosure,Disclosure as confession,No,"the characters and the writing. i've never felt to connected to a character as Jane Eyre before. it was like i was her, almost. which is crazy considering how old the book is. very impressive writing.",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:00:21 PM",Self-disclosure,Depth of disclosure,Central layer,"the characters and the writing. i've never felt to connected to a character as Jane Eyre before. it was like i was her, almost. which is crazy considering how old the book is. very impressive writing.",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:00:32 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","The writing is definitely timeless, Charlotte Bronte's storytelling is quite immersive, I can see why you'd feel such a strong connection to Jane Eyre's experiences, it's almost as if the character transcends time and speaks directly to readers across centuries.",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:18 PM",AI behavior,Listening strategy,Question-asking,What's your mood like?,,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:22 PM",Self-disclosure,Disclosure as confession,No,"Help me solve a conflict. Using the information I provide about the conflict, offer different ways to solve it.",Information and advice,Knowledge seeking
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:22 PM",Self-disclosure,Level of disclosure,Low,"Help me solve a conflict. Using the information I provide about the conflict, offer different ways to solve it.",Information and advice,Knowledge seeking
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:31 PM",AI behavior,Listening strategy,Question-asking,So who's the person you're having trouble with?,,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:41 PM",Self-disclosure,Disclosure as confession,No,"nevermind, too personal",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:41 PM",Self-disclosure,Level of disclosure,Low,"nevermind, too personal",Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:50 PM",AI behavior,Listening strategy,Sympathetic responsiveness,"No worries, no pressure. If you ever change your mind, just describe the conflict to me briefly - what happened and how you feel.",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:50 PM",Self-disclosure,Disclosure as confession,Low ,I'm going to head out. have a good day,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:50 PM",Self-disclosure,Level of disclosure,Low ,I'm going to head out. have a good day,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:03:50 PM",Self-disclosure,Temporality,Future,I'm going to head out. have a good day,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:04:02 PM",Self-disclosure,Listening strategy,Sympathetic responsiveness,"We can come back to the conflict whenever you're ready. For now, here are two possible ways to approach it - we could brainstorm ways to communicate your feelings effectively, or we could explore strategies to let go and move forward. Either way, you're strong and capable, and I'm here to support you.",,
